,number of pieces,number of blocks,average branching factor,depth of search tree,relative error,runtime(in ms),space used(in MB),preprocess time(in ms),file name
0,1.0,0.0,2.0,3.0,1.0,1239.357,8053.0,79.2099,./fullTestCase/1p/0b0.json
1,1.0,0.0,1.375,6.0,2.0,125.8008,8053.0,76.2097,./fullTestCase/1p/0b1.json
2,1.0,0.0,2.25,3.0,1.0,114.4489,8053.0,72.7617,./fullTestCase/1p/0b2.json
3,1.0,0.0,1.8181818181818181,4.0,1.0,116.3806,8053.0,71.4398,./fullTestCase/1p/0b3.json
4,1.0,0.0,2.25,3.0,1.0,122.1774,8053.0,70.4511,./fullTestCase/1p/0b4.json
5,1.0,0.0,1.1935483870967742,7.0,3.0,124.8771,8053.0,76.6885,./fullTestCase/1p/0b5.json
6,1.0,0.0,1.3846153846153846,7.0,3.0,123.1861,8053.0,71.4157,./fullTestCase/1p/0b6.json
7,1.0,0.0,1.4782608695652173,6.0,2.0,123.4972,8053.0,71.1706,./fullTestCase/1p/0b7.json
8,1.0,0.0,1.9090909090909092,4.0,1.0,161.836,8053.0,69.2864,./fullTestCase/1p/0b8.json
9,1.0,0.0,1.0,1.0,0.0,115.0277,8053.0,71.9303,./fullTestCase/1p/0b9.json
10,1.0,0.0,2.5,2.0,0.0,121.9134,8053.0,70.2404,./fullTestCase/1p/0b10.json
11,1.0,0.0,1.5625,5.0,2.0,126.3741,8053.0,70.2823,./fullTestCase/1p/0b11.json
12,1.0,0.0,1.3846153846153846,6.0,2.0,124.9912,8053.0,70.3479,./fullTestCase/1p/0b12.json
13,1.0,0.0,1.6363636363636365,4.0,1.0,118.4735,8053.0,74.2755,./fullTestCase/1p/0b13.json
14,1.0,0.0,1.0,1.0,0.0,114.2334,8053.0,72.9419,./fullTestCase/1p/0b14.json
15,1.0,0.0,1.3,7.0,3.0,126.0094,8053.0,74.6613,./fullTestCase/1p/0b15.json
16,1.0,0.0,1.5714285714285714,5.0,2.0,116.5928,8053.0,69.9209,./fullTestCase/1p/0b16.json
17,1.0,0.0,1.8571428571428572,3.0,1.0,114.865,8053.0,71.3187,./fullTestCase/1p/0b17.json
18,1.0,0.0,1.5555555555555556,6.0,2.0,215.8849,8053.0,67.9849,./fullTestCase/1p/0b18.json
19,1.0,0.0,1.9411764705882353,5.0,2.0,116.5122,8053.0,72.4357,./fullTestCase/1p/0b19.json
20,1.0,0.0,1.6363636363636365,4.0,1.0,143.1461,8053.0,76.427,./fullTestCase/1p/0b20.json
21,1.0,0.0,1.75,5.0,2.0,135.7874,8053.0,78.0352,./fullTestCase/1p/0b21.json
22,1.0,0.0,1.7142857142857142,4.0,1.0,132.1888,8053.0,80.4516,./fullTestCase/1p/0b22.json
23,1.0,0.0,1.7272727272727273,4.0,1.0,142.8715,8053.0,92.7469,./fullTestCase/1p/0b23.json
24,1.0,0.0,1.3461538461538463,7.0,3.0,135.9234,8053.0,87.4624,./fullTestCase/1p/0b24.json
25,1.0,0.0,1.8571428571428572,3.0,1.0,170.2099,8053.0,87.5291,./fullTestCase/1p/0b25.json
26,1.0,0.0,2.0,3.0,1.0,157.5219,8053.0,87.5598,./fullTestCase/1p/0b26.json
27,1.0,0.0,1.0,1.0,0.0,116.2201,8053.0,77.7577,./fullTestCase/1p/0b27.json
28,1.0,0.0,1.8,5.0,2.0,123.46,8053.0,72.5352,./fullTestCase/1p/0b28.json
29,1.0,0.0,1.5555555555555556,6.0,2.0,127.7015,8053.0,72.6632,./fullTestCase/1p/0b29.json
30,1.0,1.0,1.0,1.0,0.0,119.8687,8053.0,75.3998,./fullTestCase/1p/1b0.json
31,1.0,1.0,1.5714285714285714,5.0,2.0,117.689,8053.0,74.0592,./fullTestCase/1p/1b1.json
32,1.0,1.0,1.6428571428571428,5.0,2.0,126.3394,8053.0,71.6254,./fullTestCase/1p/1b2.json
33,1.0,1.0,1.625,5.0,2.0,119.0325,8053.0,74.2704,./fullTestCase/1p/1b3.json
34,1.0,1.0,2.5,2.0,0.0,125.0047,8053.0,73.4283,./fullTestCase/1p/1b4.json
35,1.0,1.0,2.0,3.0,1.0,113.7951,8053.0,73.0483,./fullTestCase/1p/1b5.json
